image_id,group,spot_count,mean_intensity,total_intensity,intensity_variance,area_covered_px,area_covered_ratio,density_spots_per_px,density_spots_per_10k_px,spot_area_mean,spot_area_std,spot_area_median,spot_area_q25,spot_area_q75,small_spot_fraction,medium_spot_fraction,large_spot_fraction,class_name,compound,concentration,batch_name
image_10308,Microtubule stabilizers,44,37.8175048828125,2478408.0,2423.6262719482183,15322,0.233795166015625,0.00067138671875,6.7138671875,304.80682373046875,265.811767578125,225.75,105.875,413.25,0.06818181818181818,0.1590909090909091,0.7727272727272727,Microtubule stabilizers,epothilone B,0.1,Week1_22361
image_10309,Microtubule stabilizers,36,33.67204284667969,2206731.0,2457.718570204219,13174,0.201019287109375,0.00054931640625,5.4931640625,322.8333435058594,256.5187072753906,234.25,181.25,441.625,0.05555555555555555,0.05555555555555555,0.8888888888888888,Microtubule stabilizers,epothilone B,0.1,Week1_22361
image_10310,Microtubule stabilizers,43,46.90089416503906,3073697.0,3010.1302079407033,14006,0.213714599609375,0.0006561279296875,6.561279296875,283.7790832519531,295.4166564941406,180.5,130.5,332.0,0.046511627906976744,0.09302325581395349,0.8604651162790697,Microtubule stabilizers,epothilone B,0.1,Week1_22361
image_10311,Microtubule stabilizers,38,43.41435241699219,2845203.0,2792.8799630755093,14021,0.2139434814453125,0.000579833984375,5.79833984375,323.3026428222656,284.81201171875,243.0,184.625,346.375,0.02631578947368421,0.05263157894736842,0.9210526315789473,Microtubule stabilizers,epothilone B,0.1,Week1_22361
image_10312,Microtubule stabilizers,30,27.567825317382812,1806685.0,1778.033485663822,10568,0.1612548828125,0.000457763671875,4.57763671875,310.2166748046875,267.1396179199219,200.5,110.0,398.375,0.03333333333333333,0.16666666666666666,0.8,Microtubule stabilizers,epothilone B,0.1,Week1_22381
image_10313,Microtubule stabilizers,41,40.58821105957031,2659989.0,2480.2244270609226,14888,0.2271728515625,0.0006256103515625,6.256103515625,318.6707458496094,307.9776306152344,229.0,99.5,389.5,0.0975609756097561,0.17073170731707318,0.7317073170731707,Microtubule stabilizers,epothilone B,0.1,Week1_22381
image_10314,Microtubule stabilizers,50,35.505859375,2326912.0,2293.607234954834,15971,0.2436981201171875,0.000762939453125,7.62939453125,278.54998779296875,262.7325134277344,188.5,105.875,317.875,0.04,0.18,0.78,Microtubule stabilizers,epothilone B,0.1,Week1_22381
image_10315,Microtubule stabilizers,27,28.92950439453125,1895924.0,2060.8584947250783,10196,0.15557861328125,0.0004119873046875,4.119873046875,331.7407531738281,268.8669128417969,237.0,88.5,514.5,0.0,0.3333333333333333,0.6666666666666666,Microtubule stabilizers,epothilone B,0.1,Week1_22381
image_10316,Microtubule stabilizers,30,34.78096008300781,2279405.0,2091.9787701719906,11588,0.17681884765625,0.000457763671875,4.57763671875,337.9666748046875,306.1907958984375,227.25,153.5,431.0,0.06666666666666667,0.1,0.8333333333333334,Microtubule stabilizers,epothilone B,0.1,Week1_22401
image_10317,Microtubule stabilizers,36,42.025543212890625,2754186.0,2790.480029917322,17084,0.26068115234375,0.00054931640625,5.4931640625,415.5833435058594,394.3174743652344,291.75,96.125,611.625,0.1111111111111111,0.19444444444444445,0.6944444444444444,Microtubule stabilizers,epothilone B,0.1,Week1_22401
image_10318,Microtubule stabilizers,33,31.40936279296875,2058444.0,1930.362481918186,13311,0.2031097412109375,0.0005035400390625,5.035400390625,352.6515197753906,306.4226379394531,277.0,127.0,497.0,0.030303030303030304,0.21212121212121213,0.7575757575757576,Microtubule stabilizers,epothilone B,0.1,Week1_22401
image_10319,Microtubule stabilizers,45,47.303802490234375,3100102.0,2716.015034369193,19121,0.2917633056640625,0.0006866455078125,6.866455078125,372.6555480957031,362.1703796386719,241.0,128.0,541.5,0.06666666666666667,0.13333333333333333,0.8,Microtubule stabilizers,epothilone B,0.1,Week1_22401
image_10320,Microtubule stabilizers,29,27.867446899414062,1826321.0,1976.6045762819704,11232,0.17138671875,0.0004425048828125,4.425048828125,339.4310302734375,261.3673400878906,316.5,112.5,568.0,0.034482758620689655,0.20689655172413793,0.7586206896551724,Microtubule stabilizers,epothilone B,0.3,Week1_22361
image_10321,Microtubule stabilizers,28,19.973739624023438,1308999.0,1345.2012604658958,8431,0.1286468505859375,0.00042724609375,4.2724609375,260.875,219.57571411132812,162.0,86.75,396.25,0.03571428571428571,0.25,0.7142857142857143,Microtubule stabilizers,epothilone B,0.3,Week1_22361
image_10322,Microtubule stabilizers,29,25.168914794921875,1649470.0,1863.7869585147128,10961,0.1672515869140625,0.0004425048828125,4.425048828125,332.4827575683594,262.5008239746094,299.0,111.0,503.0,0.13793103448275862,0.06896551724137931,0.7931034482758621,Microtubule stabilizers,epothilone B,0.3,Week1_22361
image_10323,Microtubule stabilizers,29,14.508499145507812,950829.0,1098.5633127742913,5778,0.088165283203125,0.0004425048828125,4.425048828125,169.10345458984375,146.42042541503906,131.0,82.5,223.5,0.034482758620689655,0.3103448275862069,0.6551724137931034,Microtubule stabilizers,epothilone B,0.3,Week1_22361
image_10324,Microtubule stabilizers,31,25.876800537109375,1695862.0,1963.4447523122653,10236,0.15618896484375,0.0004730224609375,4.730224609375,289.4677429199219,278.3177795410156,201.0,106.5,336.0,0.0,0.22580645161290322,0.7741935483870968,Microtubule stabilizers,epothilone B,0.3,Week1_22381
image_10325,Microtubule stabilizers,25,20.405960083007812,1337325.0,1610.574866210809,8221,0.1254425048828125,0.0003814697265625,3.814697265625,287.1400146484375,244.01885986328125,209.5,89.5,350.0,0.0,0.28,0.72,Microtubule stabilizers,epothilone B,0.3,Week1_22381
image_10326,Microtubule stabilizers,25,16.64776611328125,1091028.0,1382.6873021386564,6740,0.10284423828125,0.0003814697265625,3.814697265625,234.52000427246094,165.55673217773438,192.5,104.0,329.5,0.0,0.24,0.76,Microtubule stabilizers,epothilone B,0.3,Week1_22381
image_10327,Microtubule stabilizers,23,9.561843872070312,626645.0,661.3474631772842,3719,0.0567474365234375,0.0003509521484375,3.509521484375,138.3478240966797,93.519287109375,91.0,64.25,209.5,0.0,0.5217391304347826,0.4782608695652174,Microtubule stabilizers,epothilone B,0.3,Week1_22381
image_10328,Microtubule stabilizers,27,19.514419555664062,1278897.0,1248.9046077502426,6720,0.1025390625,0.0004119873046875,4.119873046875,216.1481475830078,146.38400268554688,233.5,85.5,310.75,0.037037037037037035,0.25925925925925924,0.7037037037037037,Microtubule stabilizers,epothilone B,0.3,Week1_22401
image_10329,Microtubule stabilizers,31,19.60223388671875,1284652.0,1411.8825841210783,7223,0.1102142333984375,0.0004730224609375,4.730224609375,199.19354248046875,182.10647583007812,142.0,60.25,262.25,0.06451612903225806,0.3225806451612903,0.6129032258064516,Microtubule stabilizers,epothilone B,0.3,Week1_22401
image_10330,Microtubule stabilizers,30,25.13720703125,1647392.0,1716.390231847763,9582,0.146209716796875,0.000457763671875,4.57763671875,281.3333435058594,326.53009033203125,198.25,111.375,317.0,0.03333333333333333,0.16666666666666666,0.8,Microtubule stabilizers,epothilone B,0.3,Week1_22401
image_10331,Microtubule stabilizers,32,27.660140991210938,1812735.0,1972.1711016891059,10317,0.1574249267578125,0.00048828125,4.8828125,278.171875,215.76889038085938,225.5,124.375,372.375,0.03125,0.1875,0.78125,Microtubule stabilizers,epothilone B,0.3,Week1_22401
