image_id,group,spot_count,mean_intensity,total_intensity,intensity_variance,area_covered_px,area_covered_ratio,density_spots_per_px,density_spots_per_10k_px,spot_area_mean,spot_area_std,spot_area_median,spot_area_q25,spot_area_q75,small_spot_fraction,medium_spot_fraction,large_spot_fraction,compound,concentration,table_number
image_00672,Group B,138,70.0311393737793,18358243.0,2568.1281463977502,54469,0.20778274536132812,0.00052642822265625,5.2642822265625,348.9130554199219,367.65386962890625,203.75,34.125,580.5,0.18115942028985507,0.2246376811594203,0.5942028985507246,aphidicolin,0.003,1
image_00673,Group B,126,40.40898132324219,10592972.0,1377.6727000975516,54977,0.20972061157226562,0.00048065185546875,4.8065185546875,385.6190490722656,380.1197509765625,288.5,58.125,647.75,0.10317460317460317,0.20634920634920634,0.6904761904761905,aphidicolin,0.003,1
image_00674,Group B,161,49.53438186645508,12985141.0,1579.387131180716,64573,0.24632644653320312,0.000614166259765625,6.14166259765625,351.78570556640625,350.40496826171875,268.5,74.5,490.0,0.11801242236024845,0.16770186335403728,0.7142857142857143,aphidicolin,0.003,1
image_00675,Group B,142,68.16677856445312,17869512.0,2374.376352085732,50902,0.19417572021484375,0.00054168701171875,5.4168701171875,314.53521728515625,345.16064453125,213.5,44.25,465.625,0.14084507042253522,0.2605633802816901,0.5985915492957746,aphidicolin,0.003,1
image_00684,Group B,193,70.81409454345703,18563490.0,1830.7583773936494,87111,0.3323020935058594,0.000736236572265625,7.36236572265625,397.8937683105469,415.8158264160156,275.0,67.5,543.0,0.12435233160621761,0.17616580310880828,0.6994818652849741,aphidicolin,0.01,1
image_00685,Group B,147,47.24881362915039,12385993.0,1346.1170811883494,64648,0.246612548828125,0.000560760498046875,5.60760498046875,387.36395263671875,355.8308410644531,316.0,91.25,560.75,0.10884353741496598,0.1564625850340136,0.7346938775510204,aphidicolin,0.01,1
image_00686,Group B,147,64.45554733276367,16896635.0,1734.8567199442623,64133,0.24464797973632812,0.000560760498046875,5.60760498046875,384.15985107421875,400.7251892089844,261.0,50.5,597.25,0.1292517006802721,0.2108843537414966,0.6598639455782312,aphidicolin,0.01,1
image_00687,Group B,131,38.23749923706055,10023731.0,990.0807210350031,60368,0.23028564453125,0.000499725341796875,4.99725341796875,405.93511962890625,369.6049499511719,345.0,115.0,544.75,0.10687022900763359,0.13740458015267176,0.7557251908396947,aphidicolin,0.01,1
image_00696,Group B,162,64.48199081420898,16903567.0,1662.1093253274303,63635,0.24274826049804688,0.00061798095703125,6.1798095703125,343.9351806640625,363.07867431640625,265.5,50.625,472.625,0.12345679012345678,0.2037037037037037,0.6728395061728395,aphidicolin,0.03,1
image_00697,Group B,154,61.973731994628906,16246042.0,2053.6606411686516,67536,0.25762939453125,0.00058746337890625,5.8746337890625,388.48699951171875,395.84161376953125,289.0,37.875,589.875,0.16233766233766234,0.19480519480519481,0.6428571428571429,aphidicolin,0.03,1
image_00698,Group B,150,59.94602966308594,15714492.0,1520.3943039996084,68592,0.26165771484375,0.00057220458984375,5.7220458984375,402.9599914550781,391.94061279296875,328.5,62.5,521.625,0.15333333333333332,0.14,0.7066666666666667,aphidicolin,0.03,1
image_00699,Group B,139,57.6246337890625,15105952.0,1902.3302687257528,68340,0.2606964111328125,0.000530242919921875,5.30242919921875,437.34173583984375,424.1328125,367.0,65.0,660.75,0.11510791366906475,0.19424460431654678,0.6906474820143885,aphidicolin,0.03,1
image_00708,Group B,138,50.65262222290039,13278281.0,1471.5246953486785,70048,0.2672119140625,0.00052642822265625,5.2642822265625,449.5833435058594,397.0409851074219,366.5,94.5,715.375,0.10869565217391304,0.15217391304347827,0.7391304347826086,aphidicolin,0.1,1
image_00709,Group B,131,46.25911331176758,12126549.0,1369.0428952342918,65830,0.25112152099609375,0.000499725341796875,4.99725341796875,443.698486328125,423.02984619140625,307.5,103.5,694.0,0.11450381679389313,0.13740458015267176,0.7480916030534351,aphidicolin,0.1,1
image_00710,Group B,168,55.469688415527344,14541046.0,1308.1829496160499,67084,0.2559051513671875,0.000640869140625,6.40869140625,349.05950927734375,339.30548095703125,292.75,41.75,538.75,0.1488095238095238,0.19642857142857142,0.6547619047619048,aphidicolin,0.1,1
image_00711,Group B,191,54.73808670043945,14349261.0,1267.3331538954371,75436,0.2877655029296875,0.000728607177734375,7.28607177734375,344.1125793457031,377.7378234863281,222.0,45.0,529.0,0.16753926701570682,0.18848167539267016,0.643979057591623,aphidicolin,0.1,1
image_00720,Group B,159,59.259769439697266,15534593.0,1751.805532380924,62542,0.23857879638671875,0.000606536865234375,6.06536865234375,342.8836364746094,360.85400390625,245.5,45.0,529.5,0.16352201257861634,0.20754716981132076,0.6289308176100629,aphidicolin,0.3,1
image_00721,Group B,139,70.63820266723633,18517381.0,1929.9582864973781,51220,0.1953887939453125,0.000530242919921875,5.30242919921875,325.5072021484375,367.4364929199219,204.5,33.0,468.75,0.17266187050359713,0.2733812949640288,0.5539568345323741,aphidicolin,0.3,1
image_00722,Group B,98,53.541568756103516,14035601.0,2824.7896843920316,50239,0.19164657592773438,0.00037384033203125,3.7384033203125,455.96429443359375,443.266357421875,308.25,72.125,710.125,0.12244897959183673,0.19387755102040816,0.6836734693877551,aphidicolin,0.3,1
image_00723,Group B,139,76.0302734375,19930880.0,2493.576720237732,51283,0.19562911987304688,0.000530242919921875,5.30242919921875,322.946044921875,345.07635498046875,179.0,30.0,509.5,0.2302158273381295,0.15827338129496402,0.6115107913669064,aphidicolin,0.3,1
image_00732,Group B,153,68.4418830871582,17941629.0,1626.9083808472933,50579,0.19294357299804688,0.000583648681640625,5.83648681640625,286.4803771972656,393.52142333984375,105.0,27.5,386.0,0.20261437908496732,0.2875816993464052,0.5098039215686274,aphidicolin,1.0,1
image_00733,Group B,96,55.91716384887695,14658349.0,2268.1245659369597,42570,0.16239166259765625,0.0003662109375,3.662109375,389.8854064941406,433.7860412597656,162.5,37.25,729.75,0.19791666666666666,0.1875,0.6145833333333334,aphidicolin,1.0,1
image_00734,Group B,149,84.95240783691406,22269764.0,2450.990914307302,66819,0.2548942565917969,0.000568389892578125,5.68389892578125,395.8758239746094,460.9853210449219,209.5,30.5,608.0,0.21476510067114093,0.2080536912751678,0.5771812080536913,aphidicolin,1.0,1
image_00735,Group B,106,65.72113800048828,17228402.0,3028.9895806507557,42432,0.161865234375,0.00040435791015625,4.0435791015625,353.2877502441406,453.86273193359375,78.5,25.375,632.125,0.24528301886792453,0.27358490566037735,0.4811320754716981,aphidicolin,1.0,1
image_00744,Group B,143,86.42206954956055,22655027.0,2894.2513426163787,61655,0.23519515991210938,0.000545501708984375,5.45501708984375,381.87762451171875,444.16558837890625,131.5,39.0,668.0,0.1888111888111888,0.25874125874125875,0.5524475524475524,aphidicolin,3.0,1
image_00745,Group B,151,65.78302001953125,17244624.0,1906.8153082989156,59586,0.22730255126953125,0.000576019287109375,5.76019287109375,344.6556396484375,409.79730224609375,122.0,36.75,580.0,0.16556291390728478,0.271523178807947,0.5629139072847682,aphidicolin,3.0,1
image_00746,Group B,158,54.64096450805664,14323801.0,1193.1269872228004,71483,0.2726860046386719,0.00060272216796875,6.0272216796875,396.6202392578125,392.6018981933594,291.25,55.25,583.25,0.12025316455696203,0.22784810126582278,0.6518987341772152,aphidicolin,3.0,1
image_00747,Group B,127,80.5247688293457,21109085.0,2589.915188507046,49346,0.18824005126953125,0.000484466552734375,4.84466552734375,342.2519836425781,403.9250793457031,135.5,25.75,550.75,0.2440944881889764,0.18110236220472442,0.5748031496062992,aphidicolin,3.0,1
image_00756,Group B,122,74.69730377197266,19581450.0,2599.0190241024247,52566,0.20052337646484375,0.00046539306640625,4.6539306640625,378.0696716308594,489.562255859375,89.75,28.625,640.375,0.21311475409836064,0.3114754098360656,0.47540983606557374,aphidicolin,10.0,1
image_00757,Group B,120,40.70695114135742,10671083.0,1437.53278615429,57436,0.2191009521484375,0.000457763671875,4.57763671875,422.6958312988281,431.0179748535156,276.0,63.125,698.375,0.13333333333333333,0.225,0.6416666666666667,aphidicolin,10.0,1
image_00758,Group B,118,73.62643432617188,19300728.0,2531.1795023372397,59031,0.22518539428710938,0.00045013427734375,4.5013427734375,441.3050842285156,463.23297119140625,310.5,43.875,729.375,0.1694915254237288,0.23728813559322035,0.5932203389830508,aphidicolin,10.0,1
image_00759,Group B,112,51.199668884277344,13421686.0,1824.7887608766905,52605,0.20067214965820312,0.00042724609375,4.2724609375,414.1785583496094,473.7001647949219,189.75,39.75,696.5,0.14285714285714285,0.25,0.6071428571428571,aphidicolin,10.0,1
image_02412,Group B,131,54.4195671081543,14265763.0,2286.623321809675,68906,0.26285552978515625,0.000499725341796875,4.99725341796875,469.2404479980469,431.8468017578125,376.0,85.75,713.0,0.12213740458015267,0.16030534351145037,0.7175572519083969,cytochalasin B,0.01,1
image_02413,Group B,89,43.42506790161133,11383621.0,2313.729523120084,50524,0.1927337646484375,0.000339508056640625,3.39508056640625,509.12921142578125,404.6133728027344,454.0,202.5,741.5,0.06741573033707865,0.12359550561797752,0.8089887640449438,cytochalasin B,0.01,1
image_02414,Group B,98,53.217037200927734,13950527.0,2912.798403428853,46533,0.17750930786132812,0.00037384033203125,3.7384033203125,424.4438781738281,404.41082763671875,376.25,49.625,670.625,0.15306122448979592,0.16326530612244897,0.6836734693877551,cytochalasin B,0.01,1
image_02415,Group B,166,66.3091049194336,17382534.0,2130.187039292825,74782,0.28527069091796875,0.00063323974609375,6.3323974609375,400.25,370.8595886230469,303.5,101.875,564.0,0.0963855421686747,0.15060240963855423,0.7530120481927711,cytochalasin B,0.01,1
image_02424,Group B,160,52.6456184387207,13800733.0,1525.2997791570233,61932,0.2362518310546875,0.0006103515625,6.103515625,337.21875,365.44805908203125,234.25,56.875,458.75,0.14375,0.18125,0.675,cytochalasin B,0.03,1
image_02425,Group B,118,44.098106384277344,11560054.0,1654.7978931427351,64014,0.24419403076171875,0.00045013427734375,4.5013427734375,483.77117919921875,419.7646484375,431.0,112.0,686.25,0.07627118644067797,0.16101694915254236,0.7627118644067796,cytochalasin B,0.03,1
image_02426,Group B,186,60.30089569091797,15807518.0,1486.7223737704917,82536,0.314849853515625,0.00070953369140625,7.0953369140625,390.1666564941406,389.3428955078125,281.25,90.125,512.0,0.10752688172043011,0.16129032258064516,0.7311827956989247,cytochalasin B,0.03,1
image_02427,Group B,148,75.63606643676758,19827541.0,2390.189959130352,72852,0.2779083251953125,0.0005645751953125,5.645751953125,435.79730224609375,426.82598876953125,319.25,91.5,692.125,0.12837837837837837,0.14189189189189189,0.7297297297297297,cytochalasin B,0.03,1
