image_id,group,spot_count,mean_intensity,total_intensity,intensity_variance,area_covered_px,area_covered_ratio,density_spots_per_px,density_spots_per_10k_px,spot_area_mean,spot_area_std,spot_area_median,spot_area_q25,spot_area_q75,small_spot_fraction,medium_spot_fraction,large_spot_fraction,batch_name,config_name,compound,concentration
image_00672,Group A,138,70.0311393737793,18358243.0,2568.1281463977502,54896,0.20941162109375,0.00052642822265625,5.2642822265625,350.340576171875,395.2473449707031,163.0,32.625,585.75,0.21739130434782608,0.21739130434782608,0.5652173913043478,Week1_22123,sensitive,aphidicolin,0.003
image_00673,Group A,123,40.40898132324219,10592972.0,1377.6727000975516,49383,0.18838119506835938,0.000469207763671875,4.69207763671875,353.8292541503906,391.5279235839844,178.5,42.25,559.25,0.17073170731707318,0.2032520325203252,0.6260162601626016,Week1_22123,sensitive,aphidicolin,0.003
image_00674,Group A,175,49.53438186645508,12985141.0,1579.387131180716,67013,0.2556343078613281,0.000667572021484375,6.67572021484375,334.0542907714844,371.1446533203125,217.0,38.75,518.0,0.2,0.1657142857142857,0.6342857142857142,Week1_22123,sensitive,aphidicolin,0.003
image_00675,Group A,145,68.16677856445312,17869512.0,2374.376352085732,50610,0.19306182861328125,0.000553131103515625,5.53131103515625,306.4344787597656,346.8201904296875,188.0,41.0,469.0,0.15862068965517243,0.2620689655172414,0.5793103448275863,Week1_22123,sensitive,aphidicolin,0.003
image_00684,Group A,184,70.81409454345703,18563490.0,1830.7583773936494,77317,0.2949409484863281,0.000701904296875,7.01904296875,369.20379638671875,421.2507019042969,232.25,43.875,490.75,0.15760869565217392,0.20108695652173914,0.6413043478260869,Week1_22123,sensitive,aphidicolin,0.01
image_00685,Group A,159,47.24881362915039,12385993.0,1346.1170811883494,62922,0.24002838134765625,0.000606536865234375,6.06536865234375,346.3050231933594,363.94189453125,257.5,45.0,543.5,0.1509433962264151,0.2389937106918239,0.610062893081761,Week1_22123,sensitive,aphidicolin,0.01
image_00686,Group A,143,64.45554733276367,16896635.0,1734.8567199442623,53636,0.2046051025390625,0.000545501708984375,5.45501708984375,329.3356628417969,383.0718688964844,180.0,31.5,526.0,0.2097902097902098,0.23076923076923078,0.5594405594405595,Week1_22123,sensitive,aphidicolin,0.01
image_00687,Group A,149,38.23749923706055,10023731.0,990.0807210350031,61655,0.23519515991210938,0.000568389892578125,5.68389892578125,361.5805358886719,391.3986511230469,227.0,36.0,541.5,0.18791946308724833,0.18120805369127516,0.6308724832214765,Week1_22123,sensitive,aphidicolin,0.01
image_00696,Group A,160,64.48199081420898,16903567.0,1662.1093253274303,55411,0.21137619018554688,0.0006103515625,6.103515625,301.59375,344.8293151855469,165.0,31.25,462.375,0.23125,0.20625,0.5625,Week1_22123,sensitive,aphidicolin,0.03
image_00697,Group A,149,61.973731994628906,16246042.0,2053.6606411686516,65040,0.24810791015625,0.000568389892578125,5.68389892578125,384.97650146484375,408.84210205078125,277.0,32.0,576.0,0.1610738255033557,0.22818791946308725,0.610738255033557,Week1_22123,sensitive,aphidicolin,0.03
