image_id,group,spot_count,avg_brightness,total_intensity,area_covered_px,area_covered_ratio
image_00672,Group B,45,70.0311393737793,18358243.0,22550,0.08602142333984375
image_00673,Group B,23,40.40898132324219,10592972.0,12970,0.04947662353515625
image_00674,Group B,28,49.53438186645508,12985141.0,10751,0.041011810302734375
image_00675,Group B,73,68.16677856445312,17869512.0,43410,0.16559600830078125
image_00684,Group B,128,70.81409454345703,18563490.0,61108,0.2331085205078125
image_00685,Group B,46,47.24881362915039,12385993.0,33201,0.12665176391601562
image_00686,Group B,72,64.45554733276367,16896635.0,39874,0.15210723876953125
image_00687,Group B,31,38.23749923706055,10023731.0,22765,0.08684158325195312
image_00696,Group B,68,64.48199081420898,16903567.0,41261,0.15739822387695312
image_00697,Group B,39,61.973731994628906,16246042.0,24936,0.095123291015625
image_00698,Group B,84,59.94602966308594,15714492.0,47520,0.1812744140625
image_00699,Group B,33,57.6246337890625,15105952.0,22539,0.08597946166992188
image_00708,Group B,45,50.65262222290039,13278281.0,27802,0.10605621337890625
image_00709,Group B,37,46.25911331176758,12126549.0,25857,0.09863662719726562
image_00710,Group B,92,55.469688415527344,14541046.0,47369,0.18069839477539062
image_00711,Group B,83,54.73808670043945,14349261.0,40429,0.15422439575195312
image_00720,Group B,61,59.259769439697266,15534593.0,30155,0.11503219604492188
image_00721,Group B,75,70.63820266723633,18517381.0,39761,0.15167617797851562
image_00722,Group B,30,53.541568756103516,14035601.0,19523,0.07447433471679688
image_00723,Group B,80,76.0302734375,19930880.0,33145,0.12643814086914062
image_00732,Group B,61,68.4418830871582,17941629.0,24871,0.09487533569335938
image_00733,Group B,18,55.91716384887695,14658349.0,7446,0.02840423583984375
image_00734,Group B,91,84.95240783691406,22269764.0,49998,0.19072723388671875
image_00735,Group B,18,65.72113800048828,17228402.0,13588,0.0518341064453125
image_00744,Group B,78,86.42206954956055,22655027.0,48845,0.18632888793945312
image_00745,Group B,71,65.78302001953125,17244624.0,32330,0.12332916259765625
image_00746,Group B,62,54.64096450805664,14323801.0,41392,0.15789794921875
image_00747,Group B,63,80.5247688293457,21109085.0,36944,0.14093017578125
image_00756,Group B,43,74.69730377197266,19581450.0,23570,0.08991241455078125
image_00757,Group B,25,40.70695114135742,10671083.0,19087,0.07281112670898438
